id	abundance	counts	length	biotype	type	zScore	pValue	call
FBgn0000003	183429.207129221	312104	107.226	ncRNA	genic	13.2976613117441	4.00150380746966e-41	present
FBgn0000008	0.72322794408768	48.00003	4182.49634443407	protein_coding	genic	1.20450999902751	0.0382675500000167	present
FBgn0000014	3.54242754050602	243	4322.89370923	protein_coding	genic	2.74860424166688	0.00100279010520136	present
FBgn0000015	1.51221404519671	81.00003	3375.52377821514	protein_coding	genic	1.92134034366651	0.0091632025941592	present
FBgn0000017	2.49113048250318	298.13675	7542.03070619827	protein_coding	genic	2.40644620924091	0.00269901895706983	present
FBgn0000018	3.45609900246359	84	1531.66	protein_coding	genic	2.72462452671073	0.00107860805444978	present
FBgn0000022	0.0962197952302317	1	654.945	protein_coding	genic	-0.755768343620964	0.259740605703195	absent
FBgn0000024	0.230353020405271	15	4103.61498687052	protein_coding	genic	0.0926212394416008	0.155187113394845	absent
FBgn0000028	1.38541874584718	60.00001706048	2729.22646217012	protein_coding	genic	1.8362350159591	0.0111125142142575	present
FBgn0000032	6.93957148997266	185.00037	1679.99969225219	protein_coding	genic	3.4020908427855	0.000112045837568587	present
FBgn0000036	0.671978101817368	50.9999	4782.8136848221	protein_coding	genic	1.13308405115939	0.0430907660995695	present
FBgn0000037	0.0854464009850441	7	5162.66	protein_coding	genic	-0.87117028604458	0.270820281835089	absent
FBgn0000038	0.716883796709501	25	2197.66	protein_coding	genic	1.19594608613879	0.0388246726129171	present
FBgn0000039	0.0306412697222993	1	2056.66	protein_coding	genic	-1.86782976666421	0.324751041737927	absent
FBgn0000042	130.967963003494	3602.9964	1733.6763096904	protein_coding	genic	6.25706882142355	6.57272283262021e-11	present
FBgn0000043	111.511711019012	2413	1363.66	protein_coding	genic	6.10077601346368	1.76858734460271e-10	present
FBgn0000044	38.8030091870597	900	1461.66	protein_coding	genic	5.07487073346002	6.49697578395414e-08	present
FBgn0000045	1.03336728681176	21	1280.66	protein_coding	genic	1.55130761408572	0.0202449313473634	present
FBgn0000046	87.7466042431063	1944.004	1396.16290537388	protein_coding	genic	5.86784275850804	7.39743418390383e-10	present
FBgn0000047	0.047287885722588	1	1332.66	protein_coding	genic	-1.44614544963161	0.310282852559133	absent
FBgn0000052	3.16643736944651	202.0001	4020.22112601567	protein_coding	genic	2.63955972631611	0.00139091005484523	present
FBgn0000053	1.9086395156522	113.15155	3735.99129614272	protein_coding	genic	2.14760149173188	0.00531899954467508	present
FBgn0000055	31.2539048073603	419.4645	845.785403573917	protein_coding	genic	4.86461346711754	1.92149442134743e-07	present
FBgn0000056	1.23204097119214	35.536	1817.66	protein_coding	genic	1.72220766846446	0.014247238599624	present
FBgn0000057	10.2201175534314	329	2028.66	protein_coding	genic	3.77831201139826	2.64555683968575e-05	present
FBgn0000061	0	0	1543.66	protein_coding	genic	NA	1	absent
FBgn0000063	3.26899197235481	96	1850.66	protein_coding	genic	2.67053520082891	0.00126887607563928	present
FBgn0000064	109.173042319513	2662.99553	1537.17843742351	protein_coding	genic	6.08017567712873	2.01147369666796e-10	present
FBgn0000071	0.099740011575655	2.00000185525	1263.66001465641	protein_coding	genic	-0.720852896699329	0.256186511828368	absent
FBgn0000075	0.782758784275079	19	1529.66	protein_coding	genic	1.28138119623716	0.0335203561987529	present
FBgn0000077	0.26571518412533	4	948.665	protein_coding	genic	0.231412847939572	0.136888730122564	absent
FBgn0000078	6.36860715870953	135.789	1343.66	protein_coding	genic	3.31865337673933	0.000151554904168148	present
FBgn0000079	11.3117676699582	243.2107	1354.9443563563	protein_coding	genic	3.87693336284957	1.7723836802299e-05	present
FBgn0000083	28.482819727851	470.6878	1041.40394831579	protein_coding	genic	4.77438387240798	3.02025741689821e-07	present
FBgn0000084	11.7262342736143	183.0004	983.473657562165	protein_coding	genic	3.91190676239362	1.53427518180066e-05	present
FBgn0000092	0	0	750.665	protein_coding	genic	NA	1	absent
FBgn0000094	649.276240459139	1306	126.760202880218	protein_coding	genic	7.81288443226926	9.36510710779161e-16	present
FBgn0000097	1.23620483016348	83.5267	4257.98519094436	protein_coding	genic	1.72548750183521	0.0141480057868633	present
FBgn0000100	45.7030317622635	696	959.695566455006	protein_coding	genic	5.23393257165838	2.78036944954907e-08	present
FBgn0000108	0.260646441724977	22.99998	5560.8978474311	protein_coding	genic	0.212693787502085	0.139330247595064	absent
FBgn0000109	3.16796443147277	27	537.097	protein_coding	genic	2.64003048967738	0.00138897943387254	present
FBgn0000114	81.3503436609373	4068.002717759	3151.30981257849	protein_coding	genic	5.79429012534734	1.14958484711148e-09	present
FBgn0000115	10.0514263272627	96	601.884	protein_coding	genic	3.76213222097343	2.8227588451522e-05	present
FBgn0000116	51.0496125233918	1339.99845	1654.17367579484	protein_coding	genic	5.34144711735929	1.54495240867766e-08	present
FBgn0000117	9.91396806802235	450.00010007079	2860.44995464307	protein_coding	genic	3.74875209651638	2.9776721843381e-05	present
FBgn0000119	2.92033648308754	267	5761.66	protein_coding	genic	2.5609294515595	0.00174911473661015	present
FBgn0000120	11.1577763097006	194.9999	1101.35162648192	protein_coding	genic	3.8636158935069	1.87190160462016e-05	present
FBgn0000121	0.833930732162666	17	1284.66	protein_coding	genic	1.34292223218954	0.0300415395330202	present
FBgn0000137	0	0	2167.66	protein_coding	genic	NA	1	absent
FBgn0000139	4.31421881448859	103.999938	1519.14829741286	protein_coding	genic	2.9401576642834	0.000549645366864743	present
FBgn0000140	6.37897518607763	615	6075.66	protein_coding	genic	3.32023376024745	0.000150699502161024	present
FBgn0000146	3.19872523880709	129.9995	2561.14404062934	protein_coding	genic	2.64942313246907	0.00135095764973093	present
FBgn0000147	13.111513811637	273.525	1314.66	protein_coding	genic	4.0204181864648	9.73390179208186e-06	present
FBgn0000150	163.213303283129	890.9999	344.026074547384	protein_coding	genic	6.47097693777395	1.63147242348674e-11	present
FBgn0000152	0.449806390996976	16.507	2312.66	protein_coding	genic	0.74297584388449	0.0766542738150226	absent
FBgn0000153	0.107195276505218	3	1763.66	protein_coding	genic	-0.650795763492776	0.248784361978849	absent
FBgn0000157	0.155785198967902	7	2831.66	protein_coding	genic	-0.287499138549388	0.205463569573384	absent
FBgn0000158	0.935739308813301	25	1683.66	protein_coding	genic	1.45486529958885	0.0244133780146288	present
FBgn0000163	2.64463271769989	287.9997185	6862.71488265592	protein_coding	genic	2.46455674704483	0.00229852149002681	present
FBgn0000166	0.319406109468763	11.5239	2273.66	protein_coding	genic	0.410266369205143	0.114204993239267	absent
FBgn0000173	13.8304679462211	264.00042	1202.92071188911	protein_coding	genic	4.07230307093884	7.79962336887724e-06	present
FBgn0000179	0.108418506469394	8	4650.0307624034	protein_coding	genic	-0.63976658983506	0.247587034160321	absent
FBgn0000180	0.313665146966134	15	3013.66	protein_coding	genic	0.392638829172651	0.116379093048556	absent
FBgn0000181	82.5656389641287	1537.9953	1173.88329228393	protein_coding	genic	5.80870257688239	1.05488558273523e-09	present
FBgn0000182	29.354685539744	1305.0055	2801.58735761206	protein_coding	genic	4.80368728421833	2.60995332885603e-07	present
FBgn0000183	5.84025413564303	358.9991	3873.74361582617	protein_coding	genic	3.23448725606635	0.000204180752144891	present
FBgn0000206	0.618580337900988	27	2750.66	protein_coding	genic	1.05261393926831	0.0490118761452668	present
FBgn0000212	1.41987979955934	113.99968673945	5059.6600308635	protein_coding	genic	1.86011894076087	0.0105337561997904	present
FBgn0000216	0	0	289.122	protein_coding	genic	NA	1	absent
FBgn0000221	2.06938709537704	39	1187.66	protein_coding	genic	2.22617985085494	0.0043567017011978	present
