id	abundance	counts	length	biotype	type	zScore	pValue	call
FBgn0000003	171039.859586454	256570	110.164	ncRNA	genic	11.06164443548	3.27342038321367e-29	present
FBgn0000008	0.555660944169896	35	4625.82634849667	protein_coding	genic	0.591696348756508	0.0941986267773616	absent
FBgn0000014	2.96079477799259	180	4464.73156450999	protein_coding	genic	1.97782113581179	0.00815212939628509	present
FBgn0000015	1.60072324187421	74.00003684468	3395.05519256999	protein_coding	genic	1.46829048547315	0.0241467309287956	present
FBgn0000017	2.28623380211306	250.47375	8045.86479114806	protein_coding	genic	1.76360940755869	0.0132269475250887	present
FBgn0000018	3.15931631935729	66	1534.2	protein_coding	genic	2.03158830144808	0.00717393003279597	present
FBgn0000022	0	0	658.083	protein_coding	genic	NA	1	absent
FBgn0000024	0.347712463702087	21	4435.37342723596	protein_coding	genic	0.203309427803421	0.142626160103899	absent
FBgn0000028	1.77172438544465	64.00004	2652.86552782612	protein_coding	genic	1.55238094140088	0.020499145077528	present
FBgn0000032	7.59742124113775	174.00048	1681.95895468412	protein_coding	genic	2.7585546115255	0.000987078352179939	present
FBgn0000036	0.638393055031905	38.0001	4371.47238685978	protein_coding	genic	0.706684592175513	0.0815678147633492	absent
FBgn0000037	0.0862272442131415	6	5110.2	protein_coding	genic	-0.951941651394913	0.282036796149464	absent
FBgn0000038	0.834466683668902	25	2200.2	protein_coding	genic	0.928590991613196	0.0600332124259327	absent
FBgn0000039	0	0	2093.2	protein_coding	genic	NA	1	absent
FBgn0000042	118.298591249092	2787.003	1730.17095467637	protein_coding	genic	5.03312092973131	8.2043181656183e-08	present
FBgn0000043	110.842301210832	2062	1366.2	protein_coding	genic	4.97918646097597	1.0855947467207e-07	present
FBgn0000044	33.3543434579028	665	1464.2	protein_coding	genic	3.98422222973607	1.15104096890279e-05	present
FBgn0000045	0.918537114653956	17	1359.2	protein_coding	genic	1.00811874983814	0.0532829168532823	absent
FBgn0000046	89.7972811804195	1729.9988	1414.86097510786	protein_coding	genic	4.80473970952962	2.63446472523337e-07	present
FBgn0000047	0.110005607993309	2	1335.2	protein_coding	genic	-0.750165949347815	0.262990091827415	absent
FBgn0000052	2.82021306356318	154.6541	4027.26930218808	protein_coding	genic	1.93751764445499	0.00895685595461198	present
FBgn0000053	1.80719772598886	90.00005	3657.36439771165	protein_coding	genic	1.56880736797876	0.0198397730063254	present
FBgn0000055	16.6788394630838	194.75947	857.558802567967	protein_coding	genic	3.41002933249874	0.000110436104855202	present
FBgn0000056	0.89735927040893	22.241	1820.2	protein_coding	genic	0.988791884681747	0.054875554831801	absent
FBgn0000057	11.8229599518023	327	2031.2	protein_coding	genic	3.12495053756508	0.000302349784645184	present
FBgn0000061	0	0	1546.2	protein_coding	genic	NA	1	absent
FBgn0000063	2.93251729350778	74	1853.2	protein_coding	genic	1.96986800140622	0.00830592893191081	present
FBgn0000064	100.381801158199	2103.96198	1539.2673492211	protein_coding	genic	4.8970543924061	1.65399263186785e-07	present
