id	biotype	type
FBti0060911	transposable_element	genic
FBgn0038189	protein_coding	genic
FBgn0037583	protein_coding	genic
FBgn0038606	protein_coding	genic
FBgn0267702	ncRNA	genic
FBgn0083949	protein_coding	genic
FBgn0038054	protein_coding	genic
FBgn0266730	ncRNA	genic
FBgn0286036	ncRNA	genic
FBti0062759	transposable_element	genic
FBgn0051383	tRNA	genic
FBgn0039612	protein_coding	genic
FBgn0037409	protein_coding	genic
FBgn0266740	ncRNA	genic
RR48333_transposable_element	transposable_element	genic
FBgn0038788	protein_coding	genic
FBgn0004782	protein_coding	genic
FBti0019331	transposable_element	genic
FBti0062448	transposable_element	genic
FBgn0038799	protein_coding	genic
FBgn0029512	protein_coding	genic
FBtr0304413_df_nrg	ncRNA	genic
FBgn0085309	protein_coding	genic
FBgn0039859	protein_coding	genic
FBgn0039754	protein_coding	genic
FBgn0039120	protein_coding	genic
FBti0020390	transposable_element	genic
FBtr0304500_df_nrg	ncRNA	genic
FBgn0026207	protein_coding	genic
FBgn0051418	protein_coding	genic
FBti0019404	transposable_element	genic
FBgn0038425	protein_coding	genic
FBgn0286976	protein_coding	genic
FBgn0037449	protein_coding	genic
FBgn0260741	protein_coding	genic
FBgn0287669	ncRNA	genic
FBti0059722	transposable_element	genic
FBgn0053325	protein_coding	genic
FBgn0267679	ncRNA	genic
FBgn0037762	protein_coding	genic
FBgn0028475	protein_coding	genic
FBgn0038693	protein_coding	genic
FBgn0263407	ncRNA	genic
FBti0061080	transposable_element	genic
FBgn0038744	protein_coding	genic
FBgn0010770	protein_coding	genic
FBgn0262112	protein_coding	genic
FBti0059891	transposable_element	genic
FBgn0001255	protein_coding	genic
FBgn0038039	protein_coding	genic
FBgn0003249	protein_coding	genic
FBgn0038033	protein_coding	genic
FBti0063697	transposable_element	genic
FBgn0037276	protein_coding	genic
FBgn0037336	protein_coding	genic
FBti0063768	transposable_element	genic
FBgn0044511	protein_coding	genic
