id	abundance	counts	length	biotype	type	zScore	pValue	call
FBgn0000003	107721.978332552	131752	146.96	ncRNA	genic	12.5356626103663	6.3915602399876e-37	present
FBgn0000008	1.69215394984746	67	4757.5260849026	protein_coding	genic	1.59849080126371	0.0147502668550831	present
FBgn0000014	3.89005279780269	141	4355.21765732685	protein_coding	genic	2.42156561846002	0.00207350105949542	present
FBgn0000015	2.15406656357681	61.000002	3402.64763252413	protein_coding	genic	1.83713468650061	0.00888098527946829	present
FBgn0000017	4.52616039726772	290.46782	7711.06443919025	protein_coding	genic	2.57131893537952	0.00135934428154846	present
FBgn0000018	8.808676305272	120	1636.88	protein_coding	genic	3.2297111643732	0.000166262279352229	present
FBgn0000022	0	0	759.959	protein_coding	genic	NA	1	absent
FBgn0000024	0.613217788031888	22.00002	4310.76729071017	protein_coding	genic	0.594840765423304	0.0740573800630272	absent
FBgn0000028	2.39658729217858	57.000014208416	2857.77451674881	protein_coding	genic	1.94262575289672	0.00698529026049823	present
FBgn0000032	16.2057039971358	241	1786.88	protein_coding	genic	3.83249575161884	1.70199557854838e-05	present
FBgn0000036	1.40825346007785	53	4522.11174695163	protein_coding	genic	1.41689861995657	0.0209999323574496	present
FBgn0000037	0.184398858866275	7.9999953583	5212.88030858272	protein_coding	genic	-0.593290741866553	0.194151713452716	absent
FBgn0000038	2.13923648103505	41	2302.88	protein_coding	genic	1.83030544633955	0.00901707306829016	present
FBgn0000039	0.0555795036055564	1	2161.88	protein_coding	genic	-1.77911831523002	0.258255564318336	absent
FBgn0000042	403.447193144617	5715.691	1702.26939541754	protein_coding	genic	7.01110023788718	3.1725632037444e-13	present
FBgn0000043	292.766666817479	3579	1468.88	protein_coding	genic	6.6940294360182	2.91302311730922e-12	present
FBgn0000044	41.486593443554	541	1566.88	protein_coding	genic	4.7619536404384	2.57248950540286e-07	present
FBgn0000045	2.08080729508668	24	1385.88	protein_coding	genic	1.80292319617747	0.00958006757587493	present
FBgn0000046	185.104031852293	2290.3152	1486.70781505571	protein_coding	genic	6.24071940026737	5.84412691805007e-11	present
FBgn0000047	0	0	1437.88	protein_coding	genic	NA	1	absent
FBgn0000052	9.35224522660409	321.7553282342	4133.86327939883	protein_coding	genic	3.28891654552919	0.000134944039074079	present
FBgn0000053	3.82352410592823	123.25156	3873.24384783899	protein_coding	genic	2.40451370746125	0.00217281513576298	present
FBgn0000055	44.3247703440776	342.902500975594	929.544971910635	protein_coding	genic	4.8273826176008	1.85615340056692e-07	present
FBgn0000056	0.88090695323983	14.097300975594	1922.87999600831	protein_coding	genic	0.953011718738258	0.0456975676546327	present
FBgn0000057	28.5528107665159	506.9996	2133.56067057073	protein_coding	genic	4.3925302135466	1.50327386120426e-06	present
FBgn0000061	0	0	1648.88	protein_coding	genic	NA	1	absent
FBgn0000063	6.26619943963207	102	1955.88	protein_coding	genic	2.89296494698441	0.000512040391715341	present
FBgn0000064	216.817042389299	2929.97352561	1623.74014336857	protein_coding	genic	6.39707852829997	2.12502094869256e-11	present
FBgn0000071	0.240418611096132	3.00000244596	1499.33877422455	protein_coding	genic	-0.330990706170746	0.168971943815071	absent
FBgn0000075	1.33048336396437	18.00003	1625.58628980382	protein_coding	genic	1.36072397085388	0.0232927484346649	present
FBgn0000077	1.36815824103063	12	1053.88	protein_coding	genic	1.38834350972879	0.0221430821027252	present
FBgn0000078	20.1145229601452	242.547	1448.88	protein_coding	genic	4.04615148424388	6.98598176073539e-06	present
FBgn0000079	24.4387811849477	293.4529	1442.79660019063	protein_coding	genic	4.23869171001638	3.01658446110878e-06	present
FBgn0000083	64.747599564526	607.0159	1126.47781304724	protein_coding	genic	5.20208742773513	2.64406793344942e-08	present
FBgn0000084	28.9195717877931	262	1088.56829387911	protein_coding	genic	4.40515158138558	1.4183534478357e-06	present
FBgn0000092	0.421169740633083	3	855.875	protein_coding	genic	0.223372647255746	0.110458218241232	absent
FBgn0000094	201.71645860074	254	151.299895875736	protein_coding	genic	6.3256948170761	3.38247018035813e-11	present
FBgn0000097	1.73081942171295	58.20009	4040.3421469392	protein_coding	genic	1.62083033185151	0.014095529539815	present
FBgn0000100	119.144055657646	1048.0024	1056.90546928978	protein_coding	genic	5.80508022242875	8.6321162970162e-10	present
FBgn0000108	0.822373929881944	36.99998	5406.02939096178	protein_coding	genic	0.885024437830409	0.0504687069368666	absent
FBgn0000109	4.69390293967193	25	639.959	protein_coding	genic	2.60730016351718	0.00122446368874924	present
FBgn0000114	131.088136598435	3570.00256	3272.2869843937	protein_coding	genic	5.89954039631688	4.8908540318582e-10	present
FBgn0000115	18.2117024448466	107	705.959	protein_coding	genic	3.94788348965026	1.05789775737678e-05	present
FBgn0000116	128.775833028574	2002.9957	1868.92509898335	protein_coding	genic	5.88194629219905	5.44035601107555e-10	present
FBgn0000117	27.8069424670745	685.9999	2964.2652412705	protein_coding	genic	4.36635697434919	1.69510112783338e-06	present
FBgn0000119	5.12010716321026	250	5866.88	protein_coding	genic	2.69323542126279	0.000949446533967118	present
FBgn0000120	13.9075852876703	139.00041	1200.91037494987	protein_coding	genic	3.68128093133278	3.11371290956899e-05	present
FBgn0000121	0	0	1389.88	protein_coding	genic	NA	1	absent
FBgn0000137	0.0528651830518022	1	2272.88	protein_coding	genic	-1.82862649434639	0.259297397407486	absent
FBgn0000139	8.73468816052647	126.00022	1733.28566861597	protein_coding	genic	3.22136910395081	0.000171178940857888	present
FBgn0000140	14.9493488093809	769	6180.88	protein_coding	genic	3.75270471979623	2.34719958297032e-05	present
FBgn0000146	7.25113235153741	161	2667.88	protein_coding	genic	3.03731356308971	0.000320269553561381	present
FBgn0000147	36.4224274015353	430.402	1419.88	protein_coding	genic	4.63323012506266	4.83032070204761e-07	present
FBgn0000150	254.607676533005	915.0004	431.813322943382	protein_coding	genic	6.55594140182743	7.41874617650471e-12	present
FBgn0000152	1.19262206655241	23.9989	2417.88	protein_coding	genic	1.25256444841342	0.0282254340761825	present
FBgn0000153	0.257172675088352	4	1868.88	protein_coding	genic	-0.264377681349254	0.162150881448818	absent
FBgn0000157	0.429834131847737	9	2515.86804110777	protein_coding	genic	0.24350851736931	0.108360540031235	absent
FBgn0000158	2.54271372543352	37.8558	1788.88	protein_coding	genic	2.00114985919499	0.00608831625565021	present
FBgn0000163	6.51645169049048	368.000300385723	6785.52165245057	protein_coding	genic	2.93168429893248	0.000452340138906695	present
FBgn0000166	0.420096214984685	8.31716	2378.88	protein_coding	genic	0.220852502194312	0.110721439780111	absent
FBgn0000173	25.0552970288938	214.9999	1031.06240027267	protein_coding	genic	4.26332648185458	2.7023455761045e-06	present
FBgn0000179	0.216170511756585	7	3890.88	protein_coding	genic	-0.436110627602394	0.179423440120307	absent
FBgn0000180	0.770508754775946	20	3118.88	protein_coding	genic	0.82061148243072	0.0552619629478346	absent
FBgn0000181	201.138266660163	1905.998	1138.60735492027	protein_coding	genic	6.32286002315313	3.44513294579718e-11	present
FBgn0000182	67.396526158822	1612.3494	2874.53695076917	protein_coding	genic	5.24173116280188	2.13440157913631e-08	present
FBgn0000183	13.1306283151192	431.00065	3944.01596751629	protein_coding	genic	3.62443830007617	3.88554949549712e-05	present
FBgn0000206	1.47256453489548	35	2855.88	protein_coding	genic	1.46105071500773	0.0193212740979746	present
FBgn0000212	1.34489038742257	58	5181.88	protein_coding	genic	1.37137598096034	0.0228441835868212	present
FBgn0000216	0	0	375.12	protein_coding	genic	NA	1	absent
FBgn0000221	5.29740144756085	57	1292.88	protein_coding	genic	2.72689736523214	0.000857814187457831	present
FBgn0000227	0.201118467552859	2	1194.88	protein_coding	genic	-0.50747030539356	0.186257141454909	absent
FBgn0000228	2.53290633998068	81.999975373357	3889.92151045067	protein_coding	genic	1.99732937897866	0.00614375314459082	present
FBgn0000229	23.8883253286179	277.0002	1393.28712887816	protein_coding	genic	4.21616794518163	3.33407505166927e-06	present
FBgn0000233	0.475972454626265	11	2776.88	protein_coding	genic	0.34432588225849	0.0980277573298811	absent
FBgn0000239	40.396465946252	941.198	2799.52190664979	protein_coding	genic	4.73562259011856	2.93014286429314e-07	present
FBgn0000241	0.842573333210397	18.068435	2576.67162695707	protein_coding	genic	0.909017705664612	0.0487509201098659	present
FBgn0000244	4.15425557472448	98.99996	2863.43978794888	protein_coding	genic	2.48654174227981	0.00173073091239629	present
FBgn0000246	3.06294533108143	63.000045181	2471.42743261321	protein_coding	genic	2.1852029437947	0.00387413874856077	present
FBgn0000247	7.73974329549833	422.614	6560.9023013007	protein_coding	genic	3.10179191072019	0.000258088056095253	present
FBgn0000250	18.7560175049555	313.0003	2005.16618400867	protein_coding	genic	3.97700577151619	9.3638050090069e-06	present
