id	abundance	counts	length	biotype	type	zScore	pValue	call
FBgn0000003	38.8925750095874	22	147.778	ncRNA	genic	5.16137737181707	1.1552655587132e-08	present
FBgn0000008	3.00968196689818	52	4513.74	protein_coding	genic	2.02157365280909	0.00203684305618142	present
FBgn0000014	20.2538167698666	298.999974	3856.71969448447	protein_coding	genic	4.36081955568775	6.10652075489583e-07	present
FBgn0000015	1.99471095950266	26.00002	3405.23830444938	protein_coding	genic	1.51687257875108	0.00609345082990121	present
FBgn0000017	12.9186013543115	300.730113	6081.56317271873	protein_coding	genic	3.80907768717135	6.57354510787173e-06	present
FBgn0000018	6.67935090403853	42	1642.74	protein_coding	genic	2.99970630914484	0.000127355679626188	present
FBgn0000022	0	0	765.741	protein_coding	genic	NA	1	absent
FBgn0000024	1.40580524805444	25.00007	4645.90009131817	protein_coding	genic	1.08756505806454	0.0130441134230766	present
FBgn0000028	25.3117093912487	297.99961642742	3075.72874310596	protein_coding	genic	4.63434853460115	1.6874402988885e-07	present
FBgn0000032	45.1131130032946	309.0003	1789.41019129196	protein_coding	genic	5.34342229547052	4.29834489185067e-09	present
FBgn0000036	0.284372461875726	6	5512.10541260162	protein_coding	genic	-0.87324361599483	0.0762262884411335	absent
FBgn0000037	0.700834035877154	13.9999687488	5218.74026726846	protein_coding	genic	0.2334772524156	0.0384268199532427	present
FBgn0000038	5.09203392207451	45	2308.74	protein_coding	genic	2.66677286097626	0.000360913666485974	present
FBgn0000039	0	0	2201.74	protein_coding	genic	NA	1	absent
FBgn0000042	1152.65311906064	8008.0032	1815.0116206819	protein_coding	genic	9.31963500292543	5.50164782784437e-22	present
FBgn0000043	509.480097802427	2876	1474.74	protein_coding	genic	8.31789215802071	4.21980740890429e-18	present
FBgn0000044	71.5935898596628	431	1572.74	protein_coding	genic	5.91008384498641	1.61142632838553e-10	present
FBgn0000045	5.25598368506465	29.00002	1441.44504867509	protein_coding	genic	2.70565510222597	0.000321262975975033	present
FBgn0000046	1592.13665218533	8662.99814	1421.48304085012	protein_coding	genic	9.71596064811719	1.21496094845899e-23	present
FBgn0000047	0.542857781283347	3	1443.74	protein_coding	genic	-0.0799275944663371	0.0501290975836007	absent
FBgn0000052	11.4919184756696	182.00000227872	4137.44904999219	protein_coding	genic	3.66549446747823	1.16337939351388e-05	present
FBgn0000053	3.92288572461819	65	4328.74	protein_coding	genic	2.34671419375088	0.000892572442706805	present
FBgn0000055	282.698233825825	977.38092	903.222116358388	protein_coding	genic	7.59518526272816	1.4484557053456e-15	present
FBgn0000056	0.76612402012039	5.61932	1916.18963723206	protein_coding	genic	0.342765148594455	0.0344862742201817	present
FBgn0000057	55.1862941142084	452	2139.74	protein_coding	genic	5.59071103127684	1.06573490789698e-09	present
FBgn0000061	0	0	1654.74	protein_coding	genic	NA	1	absent
FBgn0000063	18.2445401465965	137	1961.74	protein_coding	genic	4.23262883469373	1.08851539237313e-06	present
FBgn0000064	463.490249309807	2697.002651	1520.17845458637	protein_coding	genic	8.20181273684786	1.11591229439682e-17	present
FBgn0000071	0.190034910806712	1.0000003817	1374.74002185286	protein_coding	genic	-1.36781281851779	0.0861775815369305	absent
FBgn0000075	1.4330341671746	9	1640.74	protein_coding	genic	1.11110737273614	0.012560354728811	present
FBgn0000077	1.97217051515785	8	1059.74	protein_coding	genic	1.50293037093	0.00626113494446081	present
FBgn0000078	37.4524900994748	208.551	1454.74	protein_coding	genic	5.11508336936028	1.47791010587455e-08	present
FBgn0000079	226.271175808278	1252.4445	1446.04916171802	protein_coding	genic	7.32200885404191	1.15124366911161e-14	present
FBgn0000083	56.4069456834714	238.000380804854	1102.29761934236	protein_coding	genic	5.61755157823402	9.12764428971796e-10	present
FBgn0000084	32.7340534689919	136.9996	1093.38550820444	protein_coding	genic	4.94986376266629	3.49989837204121e-08	present
FBgn0000092	0	0	861.741	protein_coding	genic	NA	1	absent
FBgn0000094	73.5284429989467	54	191.863424564864	protein_coding	genic	5.94280443852949	1.32043195893776e-10	present
FBgn0000097	2.76853227761084	47.1692258139	4451.05498028514	protein_coding	genic	1.91910302009165	0.00259062533476184	present
FBgn0000100	262.791129661226	1066.9976	1060.73412914144	protein_coding	genic	7.50559563333556	2.88180397028545e-15	present
FBgn0000108	1.58806202457711	31	5099.74	protein_coding	genic	1.23713947710231	0.0101810683761888	present
FBgn0000109	8.49611130680218	25.000034	768.730668598551	protein_coding	genic	3.29490203825884	4.63992317535918e-05	present
