id	minimum_pValue	call
ENSG00000000003	4.60576070986838e-07	present
ENSG00000000005	1	absent
ENSG00000000419	6.18624682053425e-09	present
ENSG00000000457	0.000741377311313049	present
ENSG00000000460	0.00695265969906419	present
ENSG00000000938	7.80617264807035e-10	present
ENSG00000000971	9.78514644159886e-12	present
ENSG00000001036	7.37587754213975e-08	present
ENSG00000001084	4.7338924230621e-07	present
ENSG00000001167	2.43799402255059e-06	present
ENSG00000001460	0.00011207504901151	present
ENSG00000001461	1.07288767400628e-05	present
ENSG00000001497	9.19740364711139e-07	present
ENSG00000001561	7.03504714741126e-06	present
ENSG00000001617	1.28533107613624e-07	present
ENSG00000001626	0.000702177552547788	present
ENSG00000001629	1.03236666978268e-05	present
ENSG00000001630	1.09884276281098e-06	present
ENSG00000001631	4.43171136417169e-06	present
ENSG00000002016	0.000565224271051361	present
ENSG00000002079	1	absent
ENSG00000002330	1.69311386249637e-08	present
ENSG00000002549	6.57654378002457e-12	present
ENSG00000002586	1.14173934183519e-12	present
ENSG00000002587	0.0124559127984853	present
ENSG00000002726	0.3172192966748	absent
ENSG00000002745	0.37053827047838	absent
ENSG00000002746	0.207762624150198	absent
ENSG00000002822	2.98360672771163e-05	present
ENSG00000002834	1.18461636042518e-10	present
ENSG00000002919	8.640301404344e-06	present
ENSG00000002933	8.67790376141557e-10	present
ENSG00000003056	5.05434461116141e-11	present
ENSG00000003096	0.0151813179265823	present
ENSG00000003137	0.00411881064877817	present
ENSG00000003147	9.8039846984357e-06	present
ENSG00000003249	0.00108510483527804	present
ENSG00000003393	3.76681086924962e-06	present
ENSG00000003400	7.4658589770082e-07	present
ENSG00000003402	1.13518768896972e-14	present
ENSG00000003436	2.81306053007362e-14	present
ENSG00000003509	8.51163221330414e-05	present
ENSG00000003756	5.97020978373712e-10	present
ENSG00000003987	0.0366543050506402	present
ENSG00000003989	3.1050165670325e-06	present
ENSG00000004059	1.57204285689798e-11	present
ENSG00000004139	0.000333200301068636	present
ENSG00000004142	6.4216246250368e-08	present
ENSG00000004399	7.61228870842873e-11	present
ENSG00000004455	1.51508802198905e-10	present
ENSG00000004468	0.000671360499467545	present
ENSG00000004478	2.17988098706447e-08	present
ENSG00000004487	1.8412685545671e-08	present
ENSG00000004534	2.1166548999872e-09	present
ENSG00000004660	0.00321447336812952	present
ENSG00000004700	3.48506058232781e-07	present
ENSG00000004766	0.000109516744678432	present
ENSG00000004776	6.1147374310305e-12	present
ENSG00000004777	0.0110487685299818	present
ENSG00000004779	5.41383658068796e-10	present
ENSG00000004799	1.31300472037216e-10	present
ENSG00000004809	0.0828170811901706	absent
ENSG00000004838	3.28380093913565e-05	present
ENSG00000004846	0.71354601715468	absent
ENSG00000004848	0.329436391339757	absent
ENSG00000004864	2.53172495431186e-05	present
ENSG00000004866	1.56215744252296e-07	present
ENSG00000004897	5.240414570897e-08	present
ENSG00000004939	0.193561919923073	absent
ENSG00000004948	0.580217807424456	absent
ENSG00000004961	1.12840938802e-05	present
ENSG00000004975	7.167717397496e-06	present
ENSG00000005001	0.000667100967307704	present
ENSG00000005007	2.66985235847049e-08	present
ENSG00000005020	2.419854580272e-08	present
ENSG00000005022	2.86801109845922e-13	present
ENSG00000005059	4.40847116941727e-06	present
ENSG00000005073	0.868816375093665	absent
ENSG00000005075	7.46063417203817e-08	present
ENSG00000005100	0.000420890013573666	present
ENSG00000005102	0.0681571022495372	absent
ENSG00000005108	0.00916392591654793	present
ENSG00000005156	5.82053780785396e-06	present
ENSG00000005175	7.2650616058204e-06	present
ENSG00000005187	4.31416211917934e-05	present
ENSG00000005189	0.0108460514839114	present
ENSG00000005194	6.31935076686283e-07	present
ENSG00000005206	1.37796147470855e-05	present
ENSG00000005238	1.69926614105547e-06	present
ENSG00000005243	7.96651362662506e-09	present
ENSG00000005249	5.03910941869907e-07	present
ENSG00000005302	3.28746110104904e-07	present
ENSG00000005339	4.290013569129e-07	present
ENSG00000005379	1.16116070429943e-05	present
ENSG00000005381	0.000231390882039866	present
ENSG00000005421	0.243796752220106	absent
ENSG00000005436	1.8915448075022e-06	present
ENSG00000005448	1.00045512283888e-07	present
ENSG00000005469	0.000214240134909401	present
ENSG00000005471	0.374784946682265	absent
ENSG00000005483	2.50116716283138e-08	present
ENSG00000005486	2.24369579173132e-10	present
ENSG00000005513	0.0643558639365012	absent
ENSG00000005700	8.08907368014098e-07	present
ENSG00000005801	3.96790889232692e-05	present
ENSG00000005810	3.0285534851541e-08	present
ENSG00000005812	3.04044782248947e-08	present
ENSG00000005844	1.16959981050074e-08	present
ENSG00000005882	8.4763699960959e-06	present
ENSG00000005884	4.49014260624154e-11	present
ENSG00000005889	3.55972159392697e-05	present
ENSG00000005893	7.20943997331824e-11	present
ENSG00000005961	0.000204290787285536	present
ENSG00000005981	0.0874351197821623	absent
ENSG00000006007	9.1705392391045e-09	present
ENSG00000006015	6.20044626866306e-08	present
ENSG00000006016	2.52973053942813e-05	present
ENSG00000006025	0.000780889554971378	present
ENSG00000006042	1.7422896594985e-08	present
ENSG00000006047	0.200463776262021	absent
ENSG00000006059	1	absent
ENSG00000006062	7.44324842219706e-06	present
ENSG00000006071	0.00144306323242789	present
ENSG00000006116	1	absent
ENSG00000006118	6.73399286372967e-05	present
ENSG00000006125	5.08726539778798e-10	present
ENSG00000006128	0.333709154048358	absent
ENSG00000006194	3.28091436744103e-06	present
ENSG00000006210	1.55018152761745e-08	present
ENSG00000006282	2.98271959508336e-06	present
ENSG00000006283	0.285588908148103	absent
ENSG00000006327	5.92075816084003e-06	present
ENSG00000006377	0.570405941398078	absent
ENSG00000006432	0.0254717578850062	present
ENSG00000006451	1.1126344425812e-08	present
ENSG00000006453	2.00858235437031e-06	present
ENSG00000006459	2.70640636501093e-06	present
ENSG00000006468	6.04551588020808e-08	present
ENSG00000006530	2.13298233488154e-05	present
ENSG00000006534	1.74551680892858e-08	present
ENSG00000006555	0.00777613954069795	present
ENSG00000006576	4.05030275244439e-06	present
ENSG00000006606	0.0148239340700478	present
ENSG00000006607	1.15750607466323e-06	present
ENSG00000006611	0.0932045426276065	absent
ENSG00000006625	1.2330734320341e-07	present
ENSG00000006634	9.17983878347366e-05	present
ENSG00000006638	0.000163814178751478	present
ENSG00000006652	2.6484430140588e-10	present
ENSG00000006659	1	absent
ENSG00000006695	0.000604613580475324	present
ENSG00000006704	1.07024422988035e-06	present
ENSG00000006712	1.91791732478634e-08	present
ENSG00000006715	2.2767244356763e-06	present
ENSG00000006740	4.36481269371324e-06	present
ENSG00000006744	1.59310283719042e-06	present
ENSG00000006747	0.00127280317643305	present
ENSG00000006756	1.46352301551388e-05	present
ENSG00000006757	0.000127179614686984	present
ENSG00000006788	1	absent
ENSG00000006831	2.92598240414427e-09	present
ENSG00000006837	0.00120614571092155	present
ENSG00000007001	0.595839917562275	absent
ENSG00000007038	0.0880637929288744	absent
ENSG00000007047	2.01095998909791e-07	present
ENSG00000007062	0.0356406821132613	present
ENSG00000007080	1.10503197039602e-08	present
ENSG00000007129	0.000203927106457694	present
ENSG00000007168	9.32659857489454e-11	present
ENSG00000007171	0.0174878686422424	present
ENSG00000007174	0.00709818719048757	present
ENSG00000007202	7.30927406389946e-08	present
ENSG00000007216	0.673629546217298	absent
ENSG00000007237	1.81513507247599e-06	present
ENSG00000007255	2.07080464601029e-06	present
ENSG00000007264	1.24738123897347e-05	present
ENSG00000007306	0.771383704945112	absent
ENSG00000007312	0.000148832868233491	present
ENSG00000007314	0.398010170361168	absent
ENSG00000007341	3.14639057658724e-06	present
ENSG00000007350	0.119920099438371	absent
ENSG00000007372	0.294532890355648	absent
ENSG00000007376	0.0105496689529365	present
ENSG00000007384	1.09253662013513e-08	present
ENSG00000007392	5.28751409504256e-09	present
ENSG00000007402	6.55158300437447e-06	present
ENSG00000007516	4.03042674922856e-05	present
ENSG00000007520	7.42065743708775e-07	present
ENSG00000007541	6.31247327442282e-06	present
ENSG00000007545	0.000210691748751641	present
ENSG00000007866	6.7420300282957e-08	present
ENSG00000007908	0.00688010456846896	present
ENSG00000007923	3.71972156068047e-05	present
ENSG00000007933	2.05708984824886e-08	present
ENSG00000007944	1.01759967709615e-07	present
ENSG00000007952	0.205328889623394	absent
