TXNAME	GENEID
FBtr0475186	FBgn0031208
FBti0060580-RA	FBti0060580
FBtr0309810	FBgn0263584
FBti0059812-RA	FBti0059812
FBti0019092-RA	FBti0019092
FBtr0347585	FBgn0267987
FBti0059816-RA	FBti0059816
FBti0059818-RA	FBti0059818
FBti0019093-RA	FBti0019093
FBtr0345732	FBgn0266878
FBtr0345733	FBgn0266879
FBtr0306539	FBgn0067779
FBtr0306536	FBgn0067779
FBtr0306538	FBgn0067779
FBtr0078100	FBgn0067779
FBtr0306537	FBgn0067779
FBtr0306540	FBgn0031213
FBtr0078101	FBgn0031213
FBtr0302164	FBgn0031213
FBtr0331680	FBgn0031213
FBtr0301733	FBgn0031213
FBtr0306541	FBgn0031214
FBtr0078103	FBgn0031216
FBtr0078104	FBgn0031217
FBtr0330636	FBgn0031217
FBtr0089437	FBgn0005278
FBtr0308091	FBgn0005278
FBtr0089428	FBgn0005278
FBtr0089429	FBgn0005278
FBtr0330656	FBgn0005278
FBtr0089432	FBgn0005278
FBtr0089430	FBgn0005278
FBtr0089431	FBgn0005278
FBtr0089433	FBgn0005278
FBtr0089434	FBgn0005278
FBtr0089435	FBgn0005278
FBtr0089436	FBgn0005278
FBtr0306542	FBgn0031228
FBtr0330638	FBgn0031228
FBtr0330639	FBgn0031228
FBti0060557-RA	FBti0060557
FBtr0344032	FBgn0266304
FBtr0300568	FBgn0001142
FBtr0078114	FBgn0001142
FBtr0078115	FBgn0001142
FBtr0336836	FBgn0265074
FBtr0336837	FBgn0265075
FBtr0078116	FBgn0031224
FBtr0330641	FBgn0031228
FBtr0330642	FBgn0031228
FBtr0078117	FBgn0031228
FBtr0078118	FBgn0031228
FBtr0301886	FBgn0031228
FBtr0301887	FBgn0031228
FBtr0330640	FBgn0031228
FBtr0340650	FBgn0031229
FBtr0078119	FBgn0031229
FBtr0078122	FBgn0016977
FBtr0306341	FBgn0016977
FBtr0330652	FBgn0016977
FBtr0332336	FBgn0016977
FBtr0078121	FBgn0016977
FBti0060558-RA	FBti0060558
FBti0060560-RA	FBti0060560
FBti0060561-RA	FBti0060561
FBtr0332337	FBgn0016977
FBtr0078123	FBgn0016977
FBtr0330653	FBgn0016977
FBtr0078124	FBgn0031231
FBtr0332338	FBgn0031233
FBtr0078125	FBgn0031233
FBtr0332339	FBgn0031233
FBtr0336984	FBgn0265151
FBtr0336985	FBgn0265153
FBtr0336986	FBgn0265152
FBtr0078126	FBgn0031235
FBtr0336987	FBgn0265149
FBtr0336988	FBgn0265150
FBtr0078127	FBgn0031240
FBtr0343777	FBgn0086856
FBtr0078128	FBgn0086856
FBtr0078129	FBgn0003444
FBtr0347594	FBgn0267995
FBtr0347595	FBgn0267996
FBtr0078130	FBgn0031247
FBtr0078131	FBgn0024352
FBtr0331205	FBgn0020622
FBtr0331208	FBgn0020622
FBtr0331206	FBgn0020622
FBtr0331207	FBgn0020622
FBtr0078047	FBgn0004611
FBtr0330673	FBgn0004611
FBtr0078049	FBgn0004611
FBtr0330674	FBgn0004611
FBtr0078048	FBgn0004611
FBtr0078050	FBgn0004611
FBtr0078052	FBgn0053127
FBtr0345774	FBgn0266907
FBtr0345775	FBgn0266906
FBtr0078053	FBgn0000061
FBtr0329831	FBgn0263871
FBtr0078054	FBgn0003278
FBtr0078055	FBgn0263933
FBtr0078056	FBgn0002593
FBtr0331932	FBgn0002593
FBtr0078057	FBgn0031254
FBtr0078058	FBgn0031255
FBtr0078059	FBgn0004583
FBtr0329832	FBgn0004583
FBtr0329833	FBgn0263870
FBtr0078060	FBgn0031256
FBtr0305350	FBgn0262510
FBtr0078061	FBgn0031257
FBtr0331230	FBgn0031257
FBtr0331231	FBgn0031257
FBtr0078062	FBgn0027592
FBtr0333012	FBgn0003963
FBtr0333013	FBgn0003963
FBtr0347589	FBgn0267991
FBtr0310027	FBgn0003963
FBtr0347590	FBgn0267991
FBtr0078063	FBgn0003963
FBtr0329895	FBgn0003963
FBtr0078064	FBgn0031261
FBtr0078066	FBgn0031263
FBtr0078067	FBgn0031265
FBtr0078068	FBgn0031266
FBtr0332340	FBgn0031266
FBtr0310022	FBgn0031268
FBtr0078069	FBgn0031268
FBtr0078070	FBgn0023489
FBtr0347397	FBgn0267827
FBtr0445834	FBgn0267827
FBtr0078071	FBgn0031270
FBtr0310023	FBgn0031270
FBtr0343219	FBgn0263657
FBtr0343248	FBgn0266032
FBtr0077998	FBgn0040107
FBtr0077999	FBgn0031273
FBtr0345777	FBgn0266909
FBtr0344054	FBgn0266323
FBtr0078000	FBgn0011244
FBtr0343785	FBgn0031275
FBtr0308257	FBgn0031275
FBtr0343787	FBgn0031275
FBtr0301439	FBgn0031275
FBtr0078001	FBgn0031275
FBtr0343786	FBgn0031275
FBtr0346526	FBgn0031275
FBtr0342660	FBgn0265825
FBtr0078003	FBgn0031276
FBtr0078004	FBgn0040725
FBtr0078005	FBgn0031277
FBtr0078006	FBgn0041250
FBtr0331651	FBgn0041250
FBtr0078007	FBgn0031279
FBtr0331652	FBgn0031279
FBtr0345453	FBgn0266797
FBtr0078008	FBgn0051658
FBtr0078009	FBgn0086130
FBtr0078010	FBgn0031282
FBtr0332972	FBgn0031282
FBtr0078011	FBgn0015621
FBtr0305507	FBgn0031285
FBtr0078012	FBgn0031285
FBtr0100469	FBgn0031285
FBtr0301908	FBgn0031285
FBtr0332973	FBgn0010583
FBtr0078013	FBgn0010583
FBtr0078014	FBgn0010583
FBtr0078015	FBgn0010583
FBtr0334793	FBgn0264869
FBtr0078016	FBgn0020545
FBtr0334794	FBgn0020545
FBtr0078017	FBgn0031288
FBtr0334795	FBgn0031288
FBtr0334796	FBgn0031288
FBtr0445831	FBgn0266884
FBtr0304182	FBgn0262177
FBtr0472769	FBtr0472769_df_nrg
FBtr0304183	FBtr0304183_df_nrg
FBtr0445832	FBgn0031289
FBtr0078018	FBgn0031289
FBtr0091487	FBgn0053526
FBtr0091489	FBgn0053526
FBtr0332000	FBgn0053526
FBtr0091486	FBgn0053526
FBtr0078023	FBgn0002936
FBtr0345738	FBgn0002563
FBtr0078025	FBgn0002563
FBtr0345455	FBgn0266799
FBtr0336969	FBgn0046113
FBtr0077949	FBgn0028481
FBtr0305064	FBgn0028481
FBti0019100-RA	FBti0019100
FBtr0479958	FBgn0287617
FBtr0301087	FBgn0031296
FBtr0077951	FBgn0031296
FBtr0077952	FBgn0015905
FBtr0077953	FBgn0031298
FBtr0332569	FBgn0031298
FBtr0077954	FBgn0031301
FBtr0077955	FBgn0031302
FBtr0077956	FBgn0031304
FBtr0077957	FBgn0031306
FBtr0332271	FBgn0031306
FBtr0346497	FBgn0267281
FBtr0077958	FBgn0031307
FBtr0077959	FBgn0283525
FBtr0077960	FBgn0031310
FBtr0077961	FBgn0031312
FBtr0331287	FBgn0031312
FBtr0077962	FBgn0031314
FBtr0077964	FBgn0031315
FBtr0077965	FBgn0051922
FBtr0077966	FBgn0031318
FBtr0331288	FBgn0031318
FBtr0077968	FBgn0031319
FBtr0308698	FBgn0031319
