target_id	length	eff_length	est_counts	tpm
FBti0064139-RA	56	7.11736	0	0
FBtr0346717	952	773	79.4673	8.10925
FBtr0079891	845	666	15.5327	1.83969
FBtr0077956	2701	2522	2282	71.3744
FBtr0347405	3401	3222	18.7689	0.459501
FBtr0347406	2744	2565	7.50857e-07	2.30909e-08
FBtr0347403	2371	2192	94.2311	3.39098
FBtr0347404	2744	2565	7.50857e-07	2.30909e-08
FBti0060585-RA	62	7.39651	0	0
FBtr0304931	2190	2011	227.048	8.90591
FBtr0080956	2066	1887	682.952	28.5489
FBtr0339505	1709	1530	34	1.75291
FBtr0091899	413	234	0.0656237	0.0221216
FBti0019203-RA	606	427	0	0
FBtr0304384	23	5.67407	0	0
FBti0019836-RA	256	77.4659	0	0
FBti0063666-RA	175	22.8744	0	0
FBtr0080163	761	582	681.905	92.4214
FBtr0340226	807	628	101.636	12.7661
FBtr0080164	798	619	1271.46	162.026
FBtr0114603	2237	2058	11.0651	0.424114
FBtr0345720	2361	2182	48.689	1.76014
FBtr0089948	2222	2043	0	0
FBtr0329952	2603	2424	13.2459	0.431043
FBtr0345735	328	149	0	0
FBtr0346484	673	494	0	0
FBtr0080853	786	607	7	0.909665
FBtr0305564	811	632	0	0
FBtr0445729	4048	3869	2	0.0407759
FBtr0445730	5632	5453	0	0
FBtr0445732	2458	2279	0	0
FBtr0445731	2385	2206	0	0
FBti0061379-RA	112	10.8985	0	0
FBtr0342928	612	433	171.972	31.3286
FBtr0081192	471	292	303.028	81.8601
FBtr0110839	668	489	108	17.4216
FBtr0077903	1436	1257	231	14.496
FBtr0472829	21	5.53965	0	0
FBti0019847-RA	415	236	0	0
FBtr0081101	450	271	291	84.7024
FBtr0080923	1041	862	1	0.0915092
FBtr0481631	821	642	286	35.1401
FBtr0331220	9009	8830	0	0
FBtr0331219	2907	2728	0	0
FBtr0290295	2768	2589	0	0
FBtr0331216	9188	9009	0	0
FBtr0301972	783	604	0	0
FBtr0331221	8906	8727	0	0
FBtr0331218	9186	9007	8.09639	0.070906
FBtr0331217	2882	2703	1.82229	0.0531793
FBtr0331222	763	584	0.0813263	0.0109847
FBtr0344106	1602	1423	54.4671	3.01927
FBtr0081205	1742	1563	407	20.5403
FBtr0445829	564	385	15.7143	3.21963
FBtr0342642	515	336	474.286	111.346
FBtr0346727	1248	1069	1	0.0737895
FBtr0337091	4576	4397	46.4175	0.832716
FBtr0080874	3796	3617	0	0
FBtr0080873	3534	3355	17.5825	0.413391
FBtr0301144	2535	2356	0	0
FBtr0079204	855	676	2051	239.327
FBtr0081288	1652	1473	213	11.4064
FBtr0473590	1207	1028	0	0
FBtr0473589	958	779	2	0.202518
FBtr0332223	1704	1525	281	14.5348
FBtr0307508	7203	7024	3789	42.5512
FBtr0336985	1190	1011	21	1.63848
FBtr0335173	2868	2689	85.6369	2.51213
FBtr0077744	2711	2532	4230.36	131.791
FBtr0332244	1098	919	429.53	36.8681
FBtr0304883	1164	985	104.47	8.36616
FBtr0081291	538	359	18.7952	4.12975
FBtr0332178	621	442	85.2048	15.206
FBtr0079808	916	737	0	0
FBtr0343429	871	692	9.59113	1.09329
FBtr0343428	1074	895	4.40887	0.388576
FBtr0079199	1950	1771	1738	77.4111
FBtr0079306	1921	1742	614.076	27.8065
FBtr0079307	2388	2209	393.369	14.0468
FBtr0333346	2397	2218	106.429	3.78503
FBtr0332330	1930	1751	140.481	6.32854
FBtr0329893	1921	1742	614.076	27.8065
FBtr0329892	2923	2744	115.57	3.32226
FBti0019189-RA	1406	1227	0.47176	0.0303284
FBtr0077450	1278	1099	194.574	13.9656
FBtr0335134	1731	1552	3.42605	0.17413
FBtr0336865	521	342	302.882	69.8586
FBti0019140-RA	7452	7273	0	0
FBtr0343832	671	492	84	13.4675
FBtr0081049	953	774	11	1.12105
FBtr0301460	4349	4170	1.08308e-06	2.04879e-08
FBtr0301461	4276	4097	66.5898	1.28208
FBtr0301459	4837	4658	43.1445	0.730631
FBtr0081524	4276	4097	0.00723271	0.000139254
FBtr0301462	3830	3651	148.956	3.21824
FBtr0301458	3928	3749	137.456	2.89216
FBtr0301464	4068	3889	4.62043	0.0937165
FBtr0301463	3832	3653	75.9894	1.64088
FBtr0081527	3300	3121	97.8529	2.47316
FBtr0301457	4834	4655	95.2354	1.6138
FBtr0081525	3837	3658	14.1479	0.305084
FBtr0079145	3042	2863	7	0.192863
FBtr0333245	3537	3358	0	0
FBtr0345955	532	353	0	0
FBtr0080763	2304	2125	523	19.414
FBti0063611-RA	250	71.7636	0	0
FBti0060329-RA	63	7.44507	0	0
FBtr0080127	1164	985	13	1.04107
FBtr0304206	21	5.53965	0	0
