target_id	length	eff_length	est_counts	tpm
FBti0064139-RA	56	15.5385	0	0
FBtr0346717	952	794.959	5.76317	0.870206
FBtr0079891	845	687.959	22.2368	3.87985
FBtr0077956	2701	2543.88	756	35.6723
FBtr0347405	3401	3243.88	12.5976	0.466152
FBtr0347406	2744	2586.88	0	0
FBtr0347403	2371	2213.88	97.4024	5.28107
FBtr0347404	2744	2586.88	0	0
FBti0060585-RA	62	13.7273	0	0
FBtr0304931	2190	2032.88	36.0881	2.13088
FBtr0080956	2066	1908.88	244.912	15.4006
FBtr0339505	1709	1551.88	5	0.386739
FBtr0091899	413	257.03	0	0
FBti0019203-RA	606	448.959	1	0.267361
FBtr0304384	23	4	0	0
FBti0019836-RA	256	108.017	0	0
FBti0063666-RA	175	45.1545	1	2.6583
FBtr0080163	761	603.959	725.221	144.135
FBtr0340226	807	649.959	59.8181	11.0472
FBtr0080164	798	640.959	10.9608	2.05265
FBtr0114603	2237	2079.88	39.4895	2.27902
FBtr0345720	2361	2203.88	39.5105	2.15195
FBtr0089948	2222	2064.88	0	0
FBtr0329952	2603	2445.88	0	0
FBtr0345735	328	174.287	1.07922	0.743276
FBtr0346484	673	515.959	1	0.232643
FBtr0080853	786	628.959	1	0.190846
FBtr0305564	811	653.959	0	0
FBtr0445729	4048	3890.88	1	0.0308502
FBtr0445730	5632	5474.88	0	0
FBtr0445732	2458	2300.88	0	0
FBtr0445731	2385	2227.88	0	0
FBti0061379-RA	112	14.1621	0	0
FBtr0342928	612	454.959	58.2885	15.3786
FBtr0081192	471	314.464	120.712	46.0769
FBtr0110839	668	510.959	52	12.2158
FBtr0077903	1436	1278.88	82	7.69646
FBtr0472829	21	5	0	0
FBti0019847-RA	415	258.979	0	0
FBtr0081101	450	293.674	177	72.3458
FBtr0080923	1041	883.875	0	0
FBtr0481631	821	663.959	149	26.9371
FBtr0331220	9009	8851.88	7.65102e-06	1.0375e-07
FBtr0331219	2907	2749.88	0	0
FBtr0290295	2768	2610.88	0	0
FBtr0331216	9188	9030.88	0	0
FBtr0301972	783	625.959	0	0
FBtr0331221	8906	8748.88	5.42403	0.0744176
FBtr0331218	9186	9028.88	0	0
FBtr0331217	2882	2724.88	6.36768	0.280505
FBtr0331222	763	605.959	0.208275	0.0412571
FBtr0344106	1602	1444.88	5.58467	0.463952
FBtr0081205	1742	1584.88	116	8.78553
FBtr0445829	564	407.041	8.33276	2.45729
FBtr0342642	515	358.193	143.667	48.1444
FBtr0346727	1248	1090.88	1	0.110035
FBtr0337091	4576	4418.88	50.9983	1.38532
FBtr0080874	3796	3638.88	7.00171	0.230963
FBtr0080873	3534	3376.88	0	0
FBtr0301144	2535	2377.88	0	0
FBtr0079204	855	697.959	789	135.691
FBtr0081288	1652	1494.88	72	5.7814
FBtr0473590	1207	1049.88	0	0
FBtr0473589	958	800.959	4	0.599453
FBtr0332223	1704	1546.88	32	2.48313
FBtr0307508	7203	7045.88	1846	31.4486
FBtr0336985	1190	1032.88	5	0.581068
FBtr0335173	2868	2710.88	51.8002	2.29365
FBtr0077744	2711	2553.88	1382.2	64.9645
FBtr0332244	1098	940.875	177.719	22.6729
FBtr0304883	1164	1006.88	29.2809	3.49071
FBtr0081291	538	381.12	28.7985	9.07013
FBtr0332178	621	463.959	11.2015	2.89802
FBtr0079808	916	758.959	0	0
FBtr0343429	871	713.959	1.96301	0.330031
FBtr0343428	1074	916.875	9.03699	1.18309
FBtr0079199	1950	1792.88	606	40.5721
FBtr0079306	1921	1763.88	138.955	9.45608
FBtr0079307	2388	2230.88	30.1447	1.62196
FBtr0333346	2397	2239.88	110.393	5.91592
FBtr0332330	1930	1772.88	79.7748	5.40123
FBtr0329893	1921	1763.88	138.955	9.45608
FBtr0329892	2923	2765.88	61.7779	2.68106
FBti0019189-RA	1406	1248.88	2.13591	0.205291
FBtr0077450	1278	1120.88	73	7.81755
FBtr0335134	1731	1573.88	0	0
FBtr0336865	521	364.157	262.725	86.6002
FBti0019140-RA	7452	7294.88	0	0
FBtr0343832	671	513.959	5	1.16774
FBtr0081049	953	795.959	19	2.86529
FBtr0301460	4349	4191.88	0	0
FBtr0301461	4276	4118.88	70.2105	2.04611
FBtr0301459	4837	4679.88	26.3811	0.676649
FBtr0081524	4276	4118.88	0	0
FBtr0301462	3830	3672.88	0	0
FBtr0301458	3928	3770.88	71.2201	2.26707
FBtr0301464	4068	3910.88	9.8804	0.303253
FBtr0301463	3832	3674.88	0	0
FBtr0081527	3300	3142.88	11.1212	0.424745
FBtr0301457	4834	4676.88	55.1868	1.41639
FBtr0081525	3837	3679.88	0	0
FBtr0079145	3042	2884.88	10	0.416081
FBtr0333245	3537	3379.88	0	0
FBtr0345955	532	375.12	0	0
FBtr0080763	2304	2146.88	189	10.5672
FBti0063611-RA	250	102.945	3	3.498
FBti0060329-RA	63	13.5833	0	0
FBtr0080127	1164	1006.88	3	0.357644
FBtr0304206	21	5	0	0
FBtr0079098	898	740.959	30	4.85995
FBtr0080294	2486	2328.88	48.5182	2.50071
FBtr0080295	2006	1848.88	58.1792	3.77716
FBti0019106-RA	7408	7250.88	6.08286e-06	1.00698e-07
FBtr0336625	1946	1788.88	125.096	8.394
FBtr0079803	1660	1502.88	854.904	68.2809
FBtr0309631	102	11.5769	0	0
FBtr0305341	1643	1485.88	883	71.3319
FBtr0340559	701	543.959	2	0.441336
FBti0060559-RA	36	13.2	0	0
FBtr0336960	3139	2981.88	0	0
FBtr0289979	3004	2846.88	0	0
FBtr0336959	2938	2780.88	3.52584	0.15219
FBtr0332480	3446	3288.88	6.47416	0.236288
FBtr0081206	1604	1446.88	80	6.63688
FBti0060884-RA	27	5.5	0	0
FBti0061564-RA	90	10.5241	0	0
FBtr0079600	4972	4814.88	340	8.47616
FBtr0345784	317	163.82	0	0
FBtr0332519	853	695.959	0	0
FBtr0091619	702	544.959	1	0.220263
FBtr0300341	8276	8118.88	0.941914	0.0139258
FBtr0332322	8254	8096.88	21.398	0.31722
FBtr0332323	7530	7372.88	42.43	0.690783
FBtr0091732	36	13.2	0	0
FBtr0080551	867	709.959	0	0
FBtr0329989	1636	1478.88	732.259	59.4344
FBtr0080494	1533	1375.88	1470.89	128.324
FBtr0080493	2035	1877.88	415.386	26.5516
FBtr0304148	238	93.0777	0	0
FBtr0077721	2693	2535.88	12	0.568013
