target_id	length	eff_length	est_counts	tpm
FBti0064139-RA	56	15.4286	0	0
FBtr0346717	952	692.343	13.1527	1.39304
FBtr0079891	845	587.066	16.8473	2.10433
FBtr0077956	2701	2441.2	484	14.5382
FBtr0347405	3401	3141.2	6.09942	0.142384
FBtr0347406	2744	2484.2	0	0
FBtr0347403	2371	2111.2	63.9006	2.21945
FBtr0347404	2744	2484.2	0	0
FBti0060585-RA	62	18.1765	0	0
FBtr0304931	2190	1930.2	37.6387	1.42989
FBtr0080956	2066	1806.2	170.361	6.91631
FBtr0339505	1709	1449.2	7	0.354192
FBtr0091899	413	192.938	0.387789	0.147383
FBti0019203-RA	606	359.521	1	0.20396
FBtr0304384	23	9	0	0
FBti0019836-RA	256	84.4161	0	0
FBti0063666-RA	175	38.3046	0	0
FBtr0080163	761	505.475	356.831	51.7646
FBtr0340226	807	549.742	91.8531	12.2519
FBtr0080164	798	540.907	79.3161	10.7525
FBtr0114603	2237	1977.2	15.079	0.55923
FBtr0345720	2361	2101.2	25.921	0.904596
FBtr0089948	2222	1962.2	0	0
FBtr0329952	2603	2343.2	0	0
FBtr0345735	328	128.836	0	0
FBtr0346484	673	421.458	1	0.173986
FBtr0080853	786	529.229	2.04483	0.283323
FBtr0305564	811	553.521	1.95517	0.259012
FBtr0445729	4048	3788.2	1	0.0193569
FBtr0445730	5632	5372.2	0	0
FBtr0445732	2458	2198.2	0	0
FBtr0445731	2385	2125.2	1	0.034504
FBti0061379-RA	112	15.3401	0	0
FBtr0342928	612	364.814	202.424	40.6873
FBtr0081192	471	240.46	42.5765	12.9836
FBtr0110839	668	416.799	42	7.38912
FBtr0077903	1436	1176.2	50	3.11715
FBtr0472829	21	7	0	0
FBti0019847-RA	415	194.586	0	0
FBtr0081101	450	223.033	302	99.2904
FBtr0080923	1041	781.201	4	0.375463
FBtr0481631	821	563.409	128	16.6593
FBtr0331220	9009	8749.2	0	0
FBtr0331219	2907	2647.2	0	0
FBtr0290295	2768	2508.2	3.60492	0.105391
FBtr0331216	9188	8928.2	0	0
FBtr0301972	783	526.388	1.52008	0.211753
FBtr0331221	8906	8646.2	0	0
FBtr0331218	9186	8926.2	21.875	0.179701
FBtr0331217	2882	2622.2	0	0
FBtr0331222	763	507.423	0	0
