target_id	length	eff_length	est_counts	tpm
FBti0064139-RA	56	18.9	0	0
FBtr0346717	952	689.81	6.54153	0.59675
FBtr0079891	845	584.359	15.4585	1.66467
FBtr0077956	2701	2438.66	541	13.9601
FBtr0347405	3401	3138.66	9.14174	0.183285
FBtr0347406	2744	2481.66	1.04504e-06	2.64991e-08
FBtr0347403	2371	2108.66	81.8583	2.44285
FBtr0347404	2744	2481.66	1.04504e-06	2.64991e-08
FBti0060585-RA	62	18.5	0	0
FBtr0304931	2190	1927.66	77.663	2.53528
FBtr0080956	2066	1803.66	153.337	5.34975
FBtr0339505	1709	1446.66	4	0.173994
FBtr0091899	413	189.226	0.675163	0.224528
FBti0019203-RA	606	355.482	0	0
FBtr0304384	23	3	0	0
FBti0019836-RA	256	81.9838	0	0
FBti0063666-RA	175	36.6721	1	1.71596
FBtr0080163	761	501.982	465.659	58.3744
FBtr0340226	807	546.988	154.728	17.8006
FBtr0080164	798	538.097	29.6125	3.46304
FBtr0114603	2237	1974.66	23.3835	0.745177
FBtr0345720	2361	2098.66	19.3432	0.58
FBtr0089948	2222	1959.66	0	0
FBtr0329952	2603	2340.66	4.89102	0.131493
FBtr0345735	328	126.224	0	0
FBtr0346484	673	417.418	1	0.150755
FBtr0080853	786	526.418	1	0.11954
FBtr0305564	811	550.988	0	0
FBtr0445729	4048	3785.66	1	0.0166227
FBtr0445730	5632	5369.66	0	0
FBtr0445732	2458	2195.66	0	0
FBtr0445731	2385	2122.66	0	0
FBti0061379-RA	112	14.0833	0.808336	3.61184
FBtr0342928	612	361.041	207.539	36.1731
FBtr0081192	471	235.788	38.4607	10.2645
FBtr0110839	668	412.628	36	5.49018
FBtr0077903	1436	1173.66	57	3.05614
FBtr0472829	21	2	0	0
FBti0019847-RA	415	190.814	0	0
FBtr0081101	450	219.028	298	85.6169
FBtr0080923	1041	778.665	2	0.16163
FBtr0481631	821	560.876	136	15.2586
FBtr0331220	9009	8746.66	0	0
FBtr0331219	2907	2644.66	0	0
FBtr0290295	2768	2505.66	7.77644	0.195299
FBtr0331216	9188	8925.66	0	0
FBtr0301972	783	523.418	4.44057	0.533866
FBtr0331221	8906	8643.66	0	0
FBtr0331218	9186	8923.66	23.783	0.167713
FBtr0331217	2882	2619.66	0	0
FBtr0331222	763	503.932	0	0
FBtr0344106	1602	1339.66	16.3233	0.766753
FBtr0081205	1742	1479.66	75	3.18963
FBtr0445829	564	317.332	0	0
FBtr0342642	515	274.116	122	28.0071
FBtr0346727	1248	985.665	8	0.510744
FBtr0337091	4576	4313.66	52.9729	0.77277
FBtr0080874	3796	3533.66	9.02707	0.160755
FBtr0080873	3534	3271.66	0	0
FBtr0301144	2535	2272.66	0	0
FBtr0079204	855	594.005	590	62.5035
FBtr0081288	1652	1389.66	80	3.62262
FBtr0473590	1207	944.665	6	0.399683
FBtr0473589	958	695.81	0	0
FBtr0332223	1704	1441.66	28	1.22218
FBtr0307508	7203	6940.66	2899	26.2839
FBtr0336985	1190	927.665	9	0.610512
FBtr0335173	2868	2605.66	16.5966	0.400814
FBtr0077744	2711	2448.66	915.403	23.5248
FBtr0332244	1098	835.665	126.409	9.51895
FBtr0304883	1164	901.665	3.59083	0.250606
FBtr0081291	538	294.447	18.0581	3.85929
FBtr0332178	621	369.145	4.94188	0.842438
FBtr0079808	916	654.011	0	0
FBtr0343429	871	609.702	0	0
FBtr0343428	1074	811.665	5	0.387647
FBtr0079199	1950	1687.66	415	15.4741
FBtr0079306	1921	1658.66	112.888	4.28285
FBtr0079307	2388	2125.66	0	0
FBtr0333346	2397	2134.66	52.3197	1.54233
FBtr0332330	1930	1667.66	83.1043	3.13587
FBtr0329893	1921	1658.66	112.888	4.28285
FBtr0329892	2923	2660.66	109.799	2.59688
FBti0019189-RA	1406	1143.66	1.97908	0.108895
FBtr0077450	1278	1015.66	49.5158	3.06787
FBtr0335134	1731	1468.66	6.48417	0.277827
FBtr0336865	521	279.647	344.556	77.5342
FBti0019140-RA	7452	7189.66	0	0
FBtr0343832	671	415.46	23	3.4837
FBtr0081049	953	690.81	15	1.36639
FBtr0301460	4349	4086.66	23.0167	0.354418
FBtr0301461	4276	4013.66	73.6213	1.15426
FBtr0301459	4837	4574.66	28.385	0.390456
FBtr0081524	4276	4013.66	0	0
FBtr0301462	3830	3567.66	0	0
FBtr0301458	3928	3665.66	22.267	0.382254
FBtr0301464	4068	3805.66	0	0
FBtr0301463	3832	3569.66	6.39723e-06	1.12774e-07
FBtr0081527	3300	3037.66	22.1481	0.458817
FBtr0301457	4834	4571.66	58.5619	0.80609
FBtr0081525	3837	3574.66	0	0
FBtr0079145	3042	2779.66	22	0.49805
FBtr0333245	3537	3274.66	0	0
FBtr0345955	532	289.122	0	0
FBtr0080763	2304	2041.66	128	3.94519
FBti0063611-RA	250	78.1985	3	2.41416
FBti0060329-RA	63	19.5	0	0
FBtr0080127	1164	901.665	17	1.18644
FBtr0304206	21	2	0	0
FBtr0079098	898	636.205	18	1.7804
FBtr0080294	2486	2223.66	55.5916	1.5732
FBtr0080295	2006	1743.66	16.4209	0.59262
FBti0019106-RA	7408	7145.66	14.2623	0.1256
FBtr0336625	1946	1683.66	270.799	10.1213
FBtr0079803	1660	1397.66	508.201	22.881
FBtr0309631	102	13.3881	0	0
FBtr0305341	1643	1380.66	826	37.6473
FBtr0340559	701	443.908	4	0.567035
FBti0060559-RA	36	11.4	0	0
FBtr0336960	3139	2876.66	0	0
FBtr0289979	3004	2741.66	0	0
FBtr0336959	2938	2675.66	0	0
FBtr0332480	3446	3183.66	20	0.395317
FBtr0081206	1604	1341.66	36	1.6885
FBti0060884-RA	27	4	0	0
FBti0061564-RA	90	15.6087	0	0
FBtr0079600	4972	4709.66	362.26	4.8403
FBtr0345784	317	118.384	0	0
FBtr0332519	853	592.124	0	0
FBtr0091619	702	444.863	1	0.141454
FBtr0300341	8276	8013.66	32.2954	0.253602
FBtr0332322	8254	7991.66	70.68	0.556547
FBtr0332323	7530	7267.66	0.00509577	4.41222e-05
FBtr0091732	36	11.4	0	0
FBtr0080551	867	605.824	10	1.03871
FBtr0329989	1636	1373.66	1613.69	73.9234
FBtr0080494	1533	1270.66	168.961	8.36755
FBtr0080493	2035	1772.66	252.831	8.97526
FBtr0304148	238	71.662	0	0
FBtr0077721	2693	2430.66	11.0186	0.285261
FBtr0077720	2819	2556.66	12.9814	0.319515
FBtr0335151	3050	2787.66	0	0
FBtr0079225	1534	1271.66	37.4191	1.85167
FBtr0079226	922	659.945	19.5809	1.8671
FBtr0079230	2345	2082.66	108.764	3.28632
FBtr0332603	2339	2076.66	0	0
FBtr0080128	538	294.447	0	0
FBti0063416-RA	91	15.1711	0	0
FBtr0342613	493	254.671	14	3.45932
FBtr0445189	3291	3028.66	0.0353658	0.000734811
FBtr0445188	3337	3074.66	16.0375	0.328232
FBtr0343823	2041	1778.66	40.2867	1.42531
FBtr0081062	1517	1254.66	103.582	5.19516
FBtr0100597	1576	1313.66	10.8597	0.520208
FBtr0081268	1653	1390.66	99.1319	4.48573
FBtr0081270	1438	1175.66	4.38235	0.234566
FBtr0081269	1634	1371.66	7.66436	0.351617
FBtr0081267	1457	1194.66	14.9617	0.788093
FBtr0332197	2333	2070.66	136.862	4.15924
FBtr0080052	1516	1253.66	228.138	11.4514
FBti0019207-RA	5019	4756.66	0	0
FBti0019831-RA	854	593.124	0	0
FBti0060193-RA	184	41.2085	0	0
FBti0063631-RA	39	14.4	2	8.73997
FBti0063674-RA	4653	4390.66	0	0
FBtr0472781	22	2	0	0
FBtr0345446	3744	3481.66	0	0
FBtr0079341	3361	3098.66	3	0.0609241
FBtr0343711	448	217.389	0	0
FBtr0299968	1397	1134.66	15	0.831891
FBtr0078116	905	643.141	65	6.35989
FBti0019261-RA	1510	1247.66	4.33845	0.218816
