target_id	length	eff_length	est_counts	tpm
FBti0064139-RA	56	22.1429	0	0
FBtr0346717	952	786.6	0	0
FBtr0079891	845	679.6	57	13.3431
FBtr0077956	2701	2535.6	728	45.6759
FBtr0347405	3401	3235.6	15.7068	0.77227
FBtr0347406	2744	2578.6	0	0
FBtr0347403	2371	2205.6	190.293	13.7256
FBtr0347404	2744	2578.6	0	0
FBti0060585-RA	62	25.375	0	0
FBtr0304931	2190	2024.6	44.0686	3.46279
FBtr0080956	2066	1900.6	274.931	23.0128
FBtr0339505	1709	1543.6	0	0
FBtr0091899	413	247.6	0	0
FBti0019203-RA	606	440.6	0	0
FBtr0304384	23	6.5	0	0
FBti0019836-RA	256	90.6548	0	0
FBti0063666-RA	175	19.0448	0	0
FBtr0080163	761	595.6	1832.39	489.44
FBtr0340226	807	641.6	267.611	66.3553
FBtr0080164	798	632.6	0	0
FBtr0114603	2237	2071.6	0	0
FBtr0345720	2361	2195.6	85	6.15888
FBtr0089948	2222	2056.6	0	0
FBtr0329952	2603	2437.6	0	0
FBtr0345735	328	162.617	0	0
FBtr0346484	673	507.6	0	0
FBtr0080853	786	620.6	0	0
FBtr0305564	811	645.6	0	0
FBtr0445729	4048	3882.6	0	0
FBtr0445730	5632	5466.6	0	0
FBtr0445732	2458	2292.6	0	0
FBtr0445731	2385	2219.6	0	0
FBti0061379-RA	112	24.1176	0	0
FBtr0342928	612	446.6	31.6737	11.2828
FBtr0081192	471	305.6	112.326	58.4743
FBtr0110839	668	502.6	103	32.6025
FBtr0077903	1436	1270.6	117	14.6492
FBtr0472829	21	4.5	0	0
FBti0019847-RA	415	249.6	0	0
FBtr0081101	450	284.6	393	219.682
FBtr0080923	1041	875.6	0	0
FBtr0481631	821	655.6	52	12.6183
FBtr0331220	9009	8843.6	4.95531e-06	8.91411e-08
FBtr0331219	2907	2741.6	0	0
FBtr0290295	2768	2602.6	0	0
FBtr0331216	9188	9022.6	0	0
FBtr0301972	783	617.6	0	0
FBtr0331221	8906	8740.6	4	0.0728039
FBtr0331218	9186	9020.6	0	0
FBtr0331217	2882	2716.6	0	0
FBtr0331222	763	597.6	0	0
FBtr0344106	1602	1436.6	80.2758	8.88966
FBtr0081205	1742	1576.6	182	18.3648
FBtr0445829	564	398.6	0	0
FBtr0342642	515	349.6	191	86.9158
FBtr0346727	1248	1082.6	0	0
FBtr0337091	4576	4410.6	0	0
FBtr0080874	3796	3630.6	0	0
FBtr0080873	3534	3368.6	25	1.18067
FBtr0301144	2535	2369.6	0	0
FBtr0079204	855	689.6	536	123.653
FBtr0081288	1652	1486.6	4	0.428058
FBtr0473590	1207	1041.6	0	0
FBtr0473589	958	792.6	0	0
FBtr0332223	1704	1538.6	5	0.516988
FBtr0307508	7203	7037.6	50	1.13027
FBtr0336985	1190	1024.6	1	0.155268
FBtr0335173	2868	2702.6	34.428	2.02659
FBtr0077744	2711	2545.6	1566.57	97.9031
FBtr0332244	1098	932.6	115	19.6173
FBtr0304883	1164	998.6	0	0
FBtr0081291	538	372.6	89	38
FBtr0332178	621	455.6	0	0
FBtr0079808	916	750.6	0	0
FBtr0343429	871	705.6	0	0
FBtr0343428	1074	908.6	2	0.350182
FBtr0079199	1950	1784.6	1191	106.171
FBtr0079306	1921	1755.6	662.162	60.0033
FBtr0079307	2388	2222.6	7.71076e-05	5.51915e-06
FBtr0333346	2397	2231.6	66.3891	4.73278
FBtr0332330	1930	1764.6	247.574	22.32
FBtr0329893	1921	1755.6	662.162	60.0033
FBtr0329892	2923	2757.6	9.71302	0.56035
FBti0019189-RA	1406	1240.6	0	0
FBtr0077450	1278	1112.6	15	2.14481
FBtr0335134	1731	1565.6	0	0
FBtr0336865	521	355.6	76.0423	34.0197
FBti0019140-RA	7452	7286.6	0	0
FBtr0343832	671	505.6	31	9.75419
FBtr0081049	953	787.6	27	5.45374
FBtr0301460	4349	4183.6	0	0
FBtr0301461	4276	4110.6	0	0
FBtr0301459	4837	4671.6	0	0
FBtr0081524	4276	4110.6	0	0
